Country,HS_age_population,HS_age_population_billion,HS_age_population_pct
Timor-Leste,12913000.0,0.013,0.018
Guyana,11619000.0,0.012,0.016
Fiji,10782000.0,0.011,0.015
Cyprus,9743000.0,0.01,0.014
Equatorial Guinea,9628000.0,0.01,0.013
Réunion,8918000.0,0.009,0.012
Djibouti,8232000.0,0.008,0.012
Bhutan,7646000.0,0.008,0.011
Comoros,7349000.0,0.007,0.01
Montenegro,7273000.0,0.007,0.01
Bahrain,6876000.0,0.007,0.01
Suriname,6558000.0,0.007,0.009
Cabo Verde,6117000.0,0.006,0.009
Solomon Islands,5786000.0,0.006,0.008
Qatar,5571000.0,0.006,0.008
Guadeloupe,4792000.0,0.005,0.007
Martinique,4759000.0,0.005,0.007
"China, Macao SAR",4412000.0,0.004,0.006
Malta,4262000.0,0.004,0.006
Luxembourg,3786000.0,0.004,0.005
Maldives,3538000.0,0.004,0.005
Bahamas,3419000.0,0.003,0.005
Brunei Darussalam,3348000.0,0.003,0.005
Barbados,3293000.0,0.003,0.005
Belize,3274000.0,0.003,0.005
Iceland,3003000.0,0.003,0.004
Samoa,2805000.0,0.003,0.004
French Polynesia,2676000.0,0.003,0.004
Western Sahara,2617000.0,0.003,0.004
Vanuatu,2479000.0,0.002,0.003
New Caledonia,2411000.0,0.002,0.003
Saint Lucia,2135000.0,0.002,0.003
Sao Tome and Principe,2049000.0,0.002,0.003
Curaçao,2012000.0,0.002,0.003
Mayotte,1839000.0,0.002,0.003
French Guiana,1764000.0,0.002,0.002
Guam,1660000.0,0.002,0.002
Saint Vincent and the Grenadines,1606000.0,0.002,0.002
Grenada,1592000.0,0.002,0.002
Tonga,1578000.0,0.002,0.002
Micronesia (Fed. States of),1456000.0,0.001,0.002
Kiribati,1221000.0,0.001,0.002
United States Virgin Islands,1044000.0,0.001,0.001
Dominica,1023000.0,0.001,0.001
Antigua and Barbuda,1006000.0,0.001,0.001
Seychelles,1005000.0,0.001,0.001
Aruba,933000.0,0.001,0.001
Jersey,707000.0,0.001,0.001
Saint Kitts and Nevis,689000.0,0.001,0.001
American Samoa,642000.0,0.001,0.001
Greenland,634000.0,0.001,0.001
Isle of Man,615000.0,0.001,0.001
Marshall Islands,595000.0,0.001,0.001
Bermuda,573000.0,0.001,0.001
Faroe Islands,540000.0,0.001,0.001
Guernsey,529000.0,0.001,0.001
Northern Mariana Islands,411000.0,0.0,0.001
Andorra,403000.0,0.0,0.001
Cayman Islands,294000.0,0.0,0.0
Gibraltar,288000.0,0.0,0.0
Liechtenstein,278000.0,0.0,0.0
Cook Islands,277000.0,0.0,0.0
Saint Martin (French part),237000.0,0.0,0.0
Sint Maarten (Dutch part),219000.0,0.0,0.0
San Marino,210000.0,0.0,0.0
Palau,208000.0,0.0,0.0
British Virgin Islands,205000.0,0.0,0.0
Wallis and Futuna Islands,195000.0,0.0,0.0
Turks and Caicos Islands,190000.0,0.0,0.0
Monaco,172000.0,0.0,0.0
"Bonaire, Sint Eustatius and Saba",150000.0,0.0,0.0
Anguilla,145000.0,0.0,0.0
Tuvalu,127000.0,0.0,0.0
Nauru,116000.0,0.0,0.0
Montserrat,109000.0,0.0,0.0
Saint Helena,88000.0,0.0,0.0
Saint Pierre and Miquelon,59000.0,0.0,0.0
Niue,37000.0,0.0,0.0
Saint Barthélemy,16000.0,0.0,0.0
Falkland Islands (Malvinas),0.0,0.0,0.0
Holy See,0.0,0.0,0.0
Tokelau,0.0,0.0,0.0
