Downloaded from wid.world on 25-10-2025 at 21:17:57
Country ;Percentile ;"anninc_992_i_2024
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2024)
2024";"agdpro_992_i_2024
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2024)
2024";"inyixx_999_i_2024
National income price index
Total population | index | all ages | individual |  | ppp | constant (2024)
2024"
 Maldives;pall;18803.1909;24291.6478;
 Mali;pall;3980.4172;4399.8932;
 Malta;pall;46083.4643;60019.2987;
 Marshall Islands;pall;11543.7927;10496.0139;
 Mauritania;pall;9571.0954;10576.0479;
 Mauritius;pall;40424.2512;27116.4353;
 Mexico;pall;19940.1817;25400.1776;
 Micronesia;pall;5281.9544;5336.3966;
 Moldova;pall;12312.9688;13695.2156;
 Monaco;pall;187454.6516;307641.7512;
 Mongolia;pall;19426.0607;24625.6319;
 Montenegro;pall;24534.8534;27766.01;
 Montserrat;pall;70077.6288;76399.6029;
 Morocco;pall;10399.0416;11124.6222;
 Mozambique;pall;2040.0323;2587.0653;
 Myanmar;pall;5383.1805;5966.4806;
 Namibia;pall;12940.9013;14753.1985;
 Nauru;pall;23467.4573;17261.1674;
 Nepal;pall;6199.6007;6368.1609;
 Netherlands;pall;56237.1632;66045.0734;
 New Caledonia;pall;32948.6422;35555.3545;
 New Zealand;pall;40167.4627;48806.3236;
 Nicaragua;pall;8804.4625;9805.5563;
 Niger;pall;3129.3387;3279.2837;
 Nigeria;pall;8701.7765;9157.5313;
 North America & Oceania (MER);pall;58773.3101;70422.3475;
 North America & Oceania (PPP);pall;58773.3198;70384.0584;
 North America (MER);pall;60829.289;72802.435;
 North America (PPP);pall;60829.3104;72757.1555;
 North Korea;pall;2296.0302;3760.6209;
 North Macedonia;pall;18449.607;23960.0677;
 Norway;pall;87036.7395;88462.1636;
 Oceania (MER);pall;39946.9883;48685.0331;
 Oceania (PPP);pall;39946.9938;48657.1215;
 Oman;pall;31638.6413;40639.8128;
 Other East Asia (MER);pall;18540.6427;18568.3015;
 Other East Asia (PPP);pall;18540.6364;19765.5397;
 Other Latin America (MER);pall;14638.9338;16679.0051;
 Other Latin America (PPP);pall;14638.994;16755.4407;
 Other MENA (MER);pall;16232.0659;18154.267;
 Other MENA (PPP);pall;16232.0755;18211.1524;
 Other North America & Oceania (MER);pall;8351.6642;8572.0125;
 Other North America & Oceania (PPP);pall;8351.6747;8972.7629;
 Other North America (MER);pall;108080.7898;80173.3463;
 Other North America (PPP);pall;108080.7741;85544.8538;
 Other Oceania (MER);pall;7183.001;7944.1764;
 Other Oceania (PPP);pall;7183.0115;8075.507;
 Other Russia & Central Asia (MER);pall;16859.438;19906.563;
 Other Russia & Central Asia (PPP);pall;16859.42;19922.222;
 Other South & Southeast Asia (MER);pall;19242.8571;21082.031;
 Other South & Southeast Asia (PPP);pall;19242.9215;21432.8813;
 Other Sub-Saharan Africa (MER);pall;5268.0074;5990.792;
 Other Sub-Saharan Africa (PPP);pall;5267.927;6017.1363;
 Other Western Europe (MER);pall;48669.9017;62111.2748;
 Other Western Europe (PPP);pall;48669.9082;61957.85;
 Pakistan;pall;8074.644;8829.5354;
 Palau;pall;16154.4082;18149.0068;
 Palestine;pall;6824.4588;7046.6015;
 Panama;pall;36621.296;42002.11;
 Papua New Guinea;pall;5301.3444;6092.1813;
 Paraguay;pall;16960.2504;19495.3263;
 Peru;pall;15265.2638;17868.7926;
 Philippines;pall;11518.1286;12848.7617;
 Poland;pall;34668.1669;41237.0972;
 Portugal;pall;32125.3341;40349.3244;
 Puerto Rico;pall;38496.4803;40866.8357;
 Qatar;pall;82832.2679;99120.5764;
 Romania;pall;32357.3971;40070.3825;
 Russia & Central Asia (MER);pall;26889.0278;31388.2285;
 Russia & Central Asia (PPP);pall;26889.0459;31403.6832;
 Russian Federation;pall;35842.9188;41651.4206;
 Rwanda;pall;4647.2605;4988.3732;
 Saint Kitts and Nevis;pall;29303.7347;31674.8272;
 Saint Lucia;pall;19286.5767;24767.4104;
 Saint Vincent and the Grenadines;pall;17809.1201;20492.6078;
 Samoa;pall;9995.6394;11147.9662;
 San Marino;pall;48551.772;67993.3599;
 Sao Tome and Principe;pall;8120.1493;8380.4253;
 Saudi Arabia;pall;55660.6721;61460.5464;
 Senegal;pall;5765.3762;6833.3095;
 Serbia;pall;18882.0443;23680.4722;
 Seychelles;pall;25306.5388;28856.913;
 Sierra Leone;pall;4239.2717;4663.0074;
 Singapore;pall;122549.2469;126459.6142;
 Sint Maarten (Dutch part);pall;38140.9319;45644.158;
 Slovakia;pall;31603.9922;38465.1935;
 Slovenia;pall;36981.5077;46818.9976;
 Solomon Islands;pall;3324.9654;3708.622;
 Somalia;pall;2249.4321;2381.3647;
 South & Southeast Asia (MER);pall;10597.717;12406.7881;
 South & Southeast Asia (PPP);pall;10597.6702;12435.297;
 South Africa;pall;13350.8303;15851.0539;
 South Sudan;pall;2613.1051;3146.3067;
 Spain;pall;37917.3537;45891.3148;
 Sri Lanka;pall;13773.8532;14986.5315;
 Sub-Saharan Africa (MER);pall;6168.1559;6923.4618;
 Sub-Saharan Africa (PPP);pall;6168.107;6869.7129;
 Sudan;pall;1122.2821;1242.8268;
 Suriname;pall;17596.6787;21835.3524;
 Swaziland;pall;11758.0801;13875.7956;
 Sweden;pall;57047.6657;64074.3972;
 Switzerland;pall;61540.8482;80002.7625;
 Syrian Arab Republic;pall;4712.6425;4894.0274;
 Taiwan;pall;59024.7657;64575.6389;
 Tajikistan;pall;8079.1422;6679.914;
 Tanzania;pall;4880.6304;5838.3235;
 Thailand;pall;16526.3457;21131.0224;
 Timor-Leste;pall;5892.9181;5690.8267;
 Togo;pall;4192.0069;4463.6493;
 Tonga;pall;11181.4901;10845.7859;
 Trinidad and Tobago;pall;25928.4517;28653.1968;
 Tunisia;pall;12134.0221;14322.2504;
 Turkey;pall;31605.25;37341.4968;
 Turkmenistan;pall;22026.5618;22647.8462;
 Turks and Caicos Islands;pall;20104.8407;22082.125;
 Tuvalu;pall;11572.2997;8344.2411;
 US Virgin Islands;pall;49750.1092;58221.6724;
 USA;pall;62212.053;74754.3219;
 Uganda;pall;4718.863;5192.6435;
 Ukraine;pall;13693.6459;15554.9962;
 United Arab Emirates;pall;61346.3228;66074.2282;
 United Kingdom;pall;46907.7714;52521.6468;
 Uruguay;pall;29180.2214;33047.0839;
 Uzbekistan;pall;9313.7754;11795.2249;
 Vanuatu;pall;5213.184;4718.9922;
 Venezuela;pall;2850.497;3354.1122;
 Viet Nam;pall;13310.0373;15917.4443;
 World (MER);pall;20192.1106;23977.3241;
 World (PPP);pall;20192.1331;23922.1305;
 Yemen;pall;1494.664;1549.4758;
 Zambia;pall;5753.8817;6199.2727;
 Zanzibar;pall;6252.2511;6864.4045;
 Zimbabwe;pall;4014.8058;4109.2024;
